player,player_full_name,team_name,team_name2,mpg,fgp,fg3p,fg3a,rpg,apg,tog,ppg,weight,height,cluster
R. McMahon,Ryan McMahon,Louisville,Louisville,24.6774193548387,0.421875,0.435897435897436,0.8125,1.09677419354839,1.83870967741935,0.967741935483871,8.74193548387097,185,72,3
R. Miller Jr.,Rodney Miller Jr.,Miami,Miami,24.0666666666667,0.575,0,0.00625,5.5,0.466666666666667,0.7,7.2,255,84,2
R. Murphy,Ryan Murphy,Pittsburgh,Pitt,24.3103448275862,0.369158878504673,0.341880341880342,0.546728971962617,1.93103448275862,1.10344827586207,1.20689655172414,7.68965517241379,185,74,3
R. Pflueger,Rex Pflueger,Notre Dame,Notre Dame,27.258064516129,0.335526315789474,0.333333333333333,0.631578947368421,3.58064516129032,3.35483870967742,1.58064516129032,5.16129032258065,218,78,3
S. Enoch,Steven Enoch,Louisville,Louisville,20.3870967741935,0.515695067264574,0.333333333333333,0.121076233183857,5.58064516129032,0.419354838709677,1.35483870967742,9.45161290322581,255,82,4
S. Mitchell,Steffon Mitchell,Boston College,Boston College,32.4838709677419,0.446327683615819,0.298245614035088,0.322033898305085,8.67741935483871,3.09677419354839,1.61290322580645,7.80645161290323,220,80,4
S. Waardenburg,Sam Waardenburg,Miami,Miami,28.1333333333333,0.412162162162162,0.25,0.351351351351351,6.03333333333333,1.03333333333333,1.13333333333333,5.86666666666667,216,82,4
S. Williamson,Samuell Williamson,Louisville,Louisville,15.3225806451613,0.469565217391304,0.333333333333333,0.234782608695652,2.48387096774194,0.580645161290323,1.12903225806452,4.41935483870968,200,79,3
T. Brown,Terrell Brown,Pittsburgh,Pitt,18.46875,0.521008403361345,0,0.0336134453781513,3.53125,0.15625,0.8125,4.875,235,82,2
T. Forrest,Trent Forrest,Florida State,Florida State,30.9354838709677,0.459363957597173,0.280701754385965,0.201413427561837,4.38709677419355,4,2.96774193548387,11.5806451612903,210,76,1
T. Gibbs,TJ Gibbs,Notre Dame,Notre Dame,34.96875,0.420118343195266,0.419889502762431,0.535502958579882,2.21875,3.25,1.21875,13.3125,185,75,1
T. Johnson,Torry Johnson,Wake Forest,Wake Forest,24.7142857142857,0.398373983739837,0.282051282051282,0.317073170731707,1.85714285714286,1.14285714285714,1.53571428571429,5.60714285714286,175,75,3
T. Jones,Tre Jones,Duke,Duke,35.448275862069,0.422976501305483,0.361111111111111,0.281984334203655,4.24137931034483,6.37931034482759,2.68965517241379,16.2413793103448,185,75,1
T. Mack,Tevin Mack,Clemson,Clemson,28.3548387096774,0.449230769230769,0.283132530120482,0.510769230769231,5.16129032258065,0.935483870967742,1.16129032258065,12.1612903225806,227,78,4
T. McGowens,Trey McGowens,Pittsburgh,Pitt,34.0625,0.370149253731343,0.317829457364341,0.385074626865672,3.375,3.625,2.875,11.875,190,76,1
T. Radford,Tyrece Radford,Virginia Tech,Virginia Tech,26.6,0.603864734299517,0,0.0434782608695652,6.23333333333333,1.66666666666667,0.8,10.0666666666667,195,74,2
T. Woldetensae,Tomas Woldetensae,Virginia,UVA,27.0689655172414,0.347593582887701,0.361111111111111,0.770053475935829,2.17241379310345,1.13793103448276,1.03448275862069,6.55172413793104,196,77,3
V. Carey Jr.,Vernon Carey Jr.,Duke,Duke,24.9032258064516,0.576811594202899,0.380952380952381,0.0608695652173913,8.7741935483871,0.967741935483871,2.03225806451613,17.8064516129032,270,82,4
W. Bede,Wabissa Bede,Virginia Tech,Virginia Tech,30.2666666666667,0.371951219512195,0.220338983050847,0.359756097560976,3.8,5.53333333333333,1.7,5.23333333333333,195,73,1
W. Moore Jr.,Wendell Moore Jr.,Duke,Duke,24,0.415584415584416,0.210526315789474,0.123376623376623,4.24,1.88,2.44,7.44,213,78,4
X. Johnson,Xavier Johnson,Pittsburgh,Pitt,33.3125,0.372239747634069,0.32183908045977,0.274447949526814,3.71875,4.90625,3.46875,11.625,200,75,1
