player,player_full_name,team_name,team_name2,cluster,stat,value
J. Baehre,Jonathan Baehre,Clemson,Clemson,3,fgp,0
J. Baker,Joey Baker,Duke,Duke,3,fgp,0.409836065573771
J. Banks III,James Banks III,Georgia Tech,Georgia Tech,4,fgp,0.528205128205128
J. Carey,Jalen Carey,Syracuse,Syracuse,3,fgp,0.125
J. Champagnie,Justin Champagnie,Pittsburgh,Pitt,4,fgp,0.413105413105413
J. Cone,Jalen Cone,Virginia Tech,Virginia Tech,3,fgp,0.404371584699454
J. DeLaurier,Javin DeLaurier,Duke,Duke,2,fgp,0.554054054054054
J. Durham,Juwan Durham,Notre Dame,Notre Dame,2,fgp,0.564705882352941
J. Francis,Jeremiah Francis,North Carolina,UNC,3,fgp,0.227272727272727
J. Girard III,Joseph Girard III,Syracuse,Syracuse,1,fgp,0.347578347578348
J. Goldwire,Jordan Goldwire,Duke,Duke,3,fgp,0.487394957983193
J. Hamilton,Jairus Hamilton,Boston College,Boston College,4,fgp,0.427860696517413
J. Hamilton,Jared Hamilton,Boston College,Boston College,3,fgp,0.410404624277457
J. Heath,Jay Heath,Boston College,Boston College,1,fgp,0.42090395480226
J. Hellems,Jericole Hellems,NC State,NC State,3,fgp,0.403921568627451
J. Huff,Jay Huff,Virginia,UVA,4,fgp,0.570652173913044
J. Mooney,John Mooney,Notre Dame,Notre Dame,4,fgp,0.459584295612009
J. Neath,Jahcobi Neath,Wake Forest,Wake Forest,3,fgp,0.421875
J. Newman III,John Newman III,Clemson,Clemson,3,fgp,0.44017094017094
J. Nwora,Jordan Nwora,Louisville,Louisville,4,fgp,0.43953488372093
J. Pierce,Justin Pierce,North Carolina,UNC,3,fgp,0.36875
J. Rishwain,Julian Rishwain,Boston College,Boston College,3,fgp,0.31404958677686
J. Usher,Jordan Usher,Georgia Tech,Georgia Tech,4,fgp,0.403508771929825
J. White,Jack White,Duke,Duke,3,fgp,0.3875
K. Clark,Kihei Clark,Virginia,UVA,1,fgp,0.375
K. McGusty,Kameron McGusty,Miami,Miami,1,fgp,0.434782608695652
K. Moore,Khalid Moore,Georgia Tech,Georgia Tech,3,fgp,0.349397590361446
K. Stattmann,Kody Stattmann,Virginia,UVA,3,fgp,0.336734693877551
K. Stone,Keith Stone,Miami,Miami,3,fgp,0.348314606741573
K. Williams,Kamari Williams,Boston College,Boston College,3,fgp,0.333333333333333
L. Black,Leaky Black,North Carolina,UNC,4,fgp,0.36405529953917
L. Kimble,Lamarr Kimble,Louisville,Louisville,3,fgp,0.358974358974359
L. Nolley II,Landers Nolley II,Virginia Tech,Virginia Tech,4,fgp,0.36551724137931
M. Bates,Manny Bates,NC State,NC State,2,fgp,0.656565656565657
M. Devoe,Michael Devoe,Georgia Tech,Georgia Tech,1,fgp,0.464968152866242
M. Diakite,Mamadi Diakite,Virginia,UVA,4,fgp,0.477707006369427
M. Dolezaj,Marek Dolezaj,Syracuse,Syracuse,4,fgp,0.506849315068493
M. Hurt,Matthew Hurt,Duke,Duke,3,fgp,0.486725663716814
M. Johnson,Markell Johnson,NC State,NC State,1,fgp,0.404891304347826
M. Osborne,Malik Osborne,Florida State,Florida State,3,fgp,0.461038961038961
M. Williams,Malik Williams,Louisville,Louisville,4,fgp,0.496732026143791
M. Wright,Moses Wright,Georgia Tech,Georgia Tech,4,fgp,0.525806451612903
M.J. Walker,M.J. Walker,Florida State,Florida State,3,fgp,0.37117903930131
N. Alleyne,Nahiem Alleyne,Virginia Tech,Virginia Tech,3,fgp,0.408071748878924
N. Laszewski,Nate Laszewski,Notre Dame,Notre Dame,3,fgp,0.41025641025641
N. Popovic,Nik Popovic,Boston College,Boston College,4,fgp,0.435483870967742
O. Oguama,Ody Oguama,Wake Forest,Wake Forest,2,fgp,0.543859649122807
O. Sarr,Olivier Sarr,Wake Forest,Wake Forest,4,fgp,0.526923076923077
P. Andree,Pat Andree,NC State,NC State,3,fgp,0.301724137931035
P. Hubb,Prentiss Hubb,Notre Dame,Notre Dame,1,fgp,0.384831460674157
P. Williams,Patrick Williams,Florida State,Florida State,4,fgp,0.458937198067633
P.J. Horne,P.J. Horne,Virginia Tech,Virginia Tech,3,fgp,0.442211055276382
Q. Guerrier,Quincy Guerrier,Syracuse,Syracuse,2,fgp,0.496774193548387
R. Carmody,Robby Carmody,Notre Dame,Notre Dame,2,fgp,0.5
R. Evans,Rayquan Evans,Florida State,Florida State,3,fgp,0.455882352941176
R. Gray,RaiQuan Gray,Florida State,Florida State,4,fgp,0.391891891891892
R. McMahon,Ryan McMahon,Louisville,Louisville,3,fgp,0.421875
R. Miller Jr.,Rodney Miller Jr.,Miami,Miami,2,fgp,0.575
R. Murphy,Ryan Murphy,Pittsburgh,Pitt,3,fgp,0.369158878504673
R. Pflueger,Rex Pflueger,Notre Dame,Notre Dame,3,fgp,0.335526315789474
S. Enoch,Steven Enoch,Louisville,Louisville,4,fgp,0.515695067264574
S. Mitchell,Steffon Mitchell,Boston College,Boston College,4,fgp,0.446327683615819
S. Waardenburg,Sam Waardenburg,Miami,Miami,4,fgp,0.412162162162162
S. Williamson,Samuell Williamson,Louisville,Louisville,3,fgp,0.469565217391304
T. Brown,Terrell Brown,Pittsburgh,Pitt,2,fgp,0.521008403361345
T. Forrest,Trent Forrest,Florida State,Florida State,1,fgp,0.459363957597173
T. Gibbs,TJ Gibbs,Notre Dame,Notre Dame,1,fgp,0.420118343195266
T. Johnson,Torry Johnson,Wake Forest,Wake Forest,3,fgp,0.398373983739837
T. Jones,Tre Jones,Duke,Duke,1,fgp,0.422976501305483
T. Mack,Tevin Mack,Clemson,Clemson,4,fgp,0.449230769230769
T. McGowens,Trey McGowens,Pittsburgh,Pitt,1,fgp,0.370149253731343
T. Radford,Tyrece Radford,Virginia Tech,Virginia Tech,2,fgp,0.603864734299517
